service_id,date,exception_type
0102030405_merged_102030412,20160701,2
0102030405_merged_102030412,20160905,2
0102030405_merged_102030412,20160624,2
0102030405_merged_102030412,20161010,2
06_merged_102030413,20160701,1
06_merged_102030413,20160905,1
06_merged_102030413,20160624,1
06_merged_102030413,20161010,1
