stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.4394588671,76424,-73.6222359243,LSL66A,rue Lapierre / boul. Newman,0,1
45.4394588671,76424,-73.6222359243,LSL66C,rue Lapierre / boul. Newman,0,1
45.3648927509,76229,-73.5743710457,SCS29A,rue Leber / rue de l'Église,0,5
45.4240167089,76283,-73.6458048321,LSL29B,rue Airlie / av. Labatt,0,1
45.398265606,76177,-73.5459696035,SCA82A,rue Jogues / rue Bourgeois,0,5
45.3672193085,76159,-73.5485231603,DEL65C,rue des Pommetiers / rue des Roitelets,0,5
45.3909752071,76015,-73.5496290391,SCA79A,rue Jogues / rue de l'Acadia,0,5
45.3898068809,76031,-73.5910442953,SCS3A,rue Maçon / rue Marcotte,0,5
45.3943598001,76304,-73.5794929433,SCA41A,rue Centrale / face au CPE (garderie),0,5
45.3898068809,76087,-73.5910442953,SCS3C,rue Maçon / rue Marcotte,0,5
45.3943598001,76074,-73.5794929433,SCA41C,rue Centrale / face au CPE,0,5
45.378114353,76023,-73.5836198892,SCS148A,rue Monchamps / face au centre municipal,0,5
45.3940134472,76054,-73.5566945725,SCA55B,boul. St-Laurent / boul. des Écluses,0,5
45.3940134472,76076,-73.5566945725,SCA55D,boul. St-Laurent / boul. des Écluses,0,5
45.3993135762,76400,-73.572666271,SCA45B,boul. St-Laurent / rue Bédard,0,5
45.3742274419,76217,-73.5829374849,SCS62B,rue de La Mairie / rue de l'Amandier,0,5
45.3870029909,76117,-73.5577730435,SCA4A,rue St-Pierre / route 132,0,5
45.4019064521,76058,-73.5541477257,SCA9D,boul. Marie-Victorin / rue des Récifs,0,5
45.3776230762,76141,-73.5452506215,DEL6D,montée des Bouleaux / rue de Collège,0,5
45.3772326388,76426,-73.6052095252,SCS215B,rue Riopelle / rue Rembrandt,0,5
45.3801211846,76415,-73.5834313154,SCS11D,rue de l'Olivier / crois. de l'Ortie,0,5
45.383485593,76404,-73.584891993,SCS114C,rue Monchamp / rue Veillette,0,5
45.37564834,76435,-73.6057939057,SCS222A,rue Rembrandt / rue Renoir,0,5
45.3945528234,76071,-73.5734392641,SCA89A,rue des Merisiers / rue des Cèdres,0,5
45.3945528234,76307,-73.5734392641,SCA89C,rue des Merisiers / rue des Cèdres,0,5
45.4459483034,76279,-73.6119974603,LSL63C,boul. Newman / face au Carrefour Angrignon,0,1
45.5363025781,76137,-73.4960691427,LON71A,Cégep Édouard Montpetit,0,3
45.4459483034,76279,-73.6119974603,LSL63A,boul. Newman / face au Carrefour Angrignon,0,1
45.3822675204,76199,-73.5767816775,SCS103D,ch. Ste-Catherine / ch. Petit-St-Régis nord,0,5
45.3822675204,76108,-73.5767816775,SCS103A,ch. Petit-St-Régis nord / ch. Ste-Catherine,0,5
45.3858991933,76028,-73.5938729839,SCS101B,ch. Ste-Catherine / crois. Ste-Catherine,0,5
45.3883830294,76173,-73.5509421482,SCA83A,rue Jogues / rue du Titanic,0,5
45.3974294545,76034,-73.5778495698,SCA15A,rue Centrale / rue St-Jean,0,5
45.3974294545,76081,-73.5778495698,SCA15C,rue Centrale / rue St-Jean,0,5
45.3795492822,76107,-73.5777484172,SCS13D,rue de l'Olivier / ch. Petit-St-Régis nord,0,5
45.394131765,76183,-73.5539359494,SCA39C,rue du Chalutier / boul. St-Laurent,0,5
45.394131765,76041,-73.5539359494,SCA39D,boul. St-Laurent / rue du Chalutier,0,5
45.3641666748,76231,-73.5699150371,SCS90D,rue de l'Église / rue St-Pierre,0,5
45.3782886499,76145,-73.5646335592,SCS129A,rue St-Pierre / rue St-Jacques,0,5
